airline_name,date_of_journey,month,month_name,day_of_week,is_weekend,Source,destination,route,Origin,Stop_1,Stop_2,Stop3,Total_stops,dep_time,Arrival_time,Duration,Duration_mins,Route_Type,Additional_info,Price,Price_Per_Min
AirAsia India,25-02-2024,2,February,Sunday,Yes,Guwahati,Indore,GUW-NAG-MUM-RAI-IND,GUW,NAG,MUM,RAI,3 stops,01:39,14:15,3h 15min,195,Domestic_Long,Red-eye flight,14170,72.67
TruJet,01-03-2021,3,March,Monday,No,Nagpur,Pune,NAG-PUN,NAG,PUN,,,non-stop,06:48,03:21,1h 0min,60,Domestic_Short,1 Long layover,10295,171.58
Star Air,11-04-2024,4,April,Thursday,No,Ahmedabad,Varanasi,AHM-PUN-BAN-VAR,AHM,PUN,BAN,VAR,2 stops,08:54,15:50,14h 30min,870,Domestic_Long,In-flight meal not included,9165,10.53
SpiceJet,13-03-2019,3,March,Wednesday,No,Patna,Indore,PAT-LUC-GOA-BHU-IND,PAT,LUC,GOA,BHU,3 stops,18:09,08:23,7h 15min,435,Domestic_Long,No info,9944,22.86
SpiceJet,22-06-2023,6,June,Thursday,No,Raipur,Mumbai,RAI-GOA-MUM,RAI,GOA,MUM,,1 stop,15:05,05:52,15h 30min,930,Domestic_Long,1 Long layover,9474,10.19
SpiceJet,25-03-2025,3,March,Tuesday,No,Kolkata,Bhubaneswar,KOL-BHU,KOL,BHU,,,non-stop,11:09,03:49,7h 30min,450,Domestic_Long,Red-eye flight,5106,11.35
GoAir,15-10-2025,10,October,Wednesday,Yes,Indore,Surat,IND-SUR,IND,SUR,,,non-stop,22:38,02:12,7h 30min,450,Domestic_Long,Limited seats,9730,21.62
SpiceJet,02-10-2020,10,October,Friday,Yes,Ahmedabad,Bangalore,AHM-GUW-BAN,AHM,GUW,BAN,,1 stop,16:15,12:11,12h 0min,720,Domestic_Long,Business class available,6436,8.94
Air India,03-05-2023,5,May,Wednesday,No,Lucknow,Guwahati,LUC-NAG-GOA-GUW,LUC,NAG,GOA,GUW,2 stops,15:25,07:28,9h 0min,540,Domestic_Long,Red-eye flight,7770,14.39
GoAir,01-12-2025,12,December,Monday,No,Bangalore,Kolkata,BAN-KOL,BAN,KOL,,,non-stop,06:49,08:44,11h 30min,690,Domestic_Long,Business class available,3000,4.35
Alliance Air,04-02-2021,2,February,Thursday,No,Delhi,Jaipur,DEL-PUN-JAI,DEL,PUN,JAI,,1 stop,20:33,10:46,10h 30min,630,Domestic_Long,Business class available,5394,8.56
Star Air,06-08-2023,8,August,Sunday,No,Guwahati,Indore,GUW-LUC-IND,GUW,LUC,IND,,1 stop,23:43,14:15,7h 0min,420,Domestic_Long,1 Long layover,7067,16.83
Star Air,15-09-2021,9,September,Wednesday,No,Lucknow,Bangalore,LUC-KOL-VAR-BAN,LUC,KOL,VAR,BAN,2 stops,15:07,17:32,6h 30min,390,Domestic_Long,Business class available,10415,26.71
GoAir,02-06-2024,6,June,Sunday,Yes,Raipur,Guwahati,RAI-NAG-BAN-KOL-GUW,RAI,NAG,BAN,KOL,3 stops,01:33,00:24,1h 45min,105,Domestic_Short,In-flight meal not included,17272,164.5
AirAsia India,03-11-2019,11,November,Sunday,Yes,Nagpur,Mumbai,NAG-CHE-AHM-SUR-MUM,NAG,CHE,AHM,SUR,3 stops,09:04,06:32,12h 15min,735,Domestic_Long,New aircraft,12749,17.35
Alliance Air,16-10-2022,10,October,Sunday,No,Goa,Varanasi,GOA-JAI-BHU-VAR,GOA,JAI,BHU,VAR,2 stops,21:49,10:05,14h 0min,840,Domestic_Long,Red-eye flight,10971,13.06
TruJet,08-09-2022,9,September,Thursday,No,Ahmedabad,Jaipur,AHM-NAG-BHU-JAI,AHM,NAG,BHU,JAI,2 stops,16:35,05:59,4h 45min,285,Domestic_Long,Red-eye flight,10015,35.14
